Country,state,city,region,region_alt,region_alt_2,region_alt_atlantia,am
EC,Imbabura,Ibarra,Sierra,,,,
CO,Antioquia,San Pedro,Central,Antioquia / Eje Cafetero,,Centro,
NI,Carazo,Diriambo,Region II,,,,
CO,Norte de Santander,Chitagá,Oriental,Oriente,,,
MX,Zacatecas,Zacatecas,North-Central,Area 2,Norte,Norte,AM de Zacatecas
BR,Minas Gerais,Monte Belo,Sudeste,,,,AM de Rest of Minas
GT,Baja Verapaz,Salamá,Region II- Norte,,,,
BR,São Paulo,Iporanga,Sudeste,,,,AM de Rest of SP
CL,Metropolitana de Santiago,Padre Hurtado,Metropolitana de Santiago,,,,
BR,Espírito Santo,Jaguaré,Sudeste,,,,AM de Rest of Espirito Santo
BR,Paraná,Reserva do Iguaçu,Sul,,,,AM de Rest of Parana
PY,Concepción,Concepción,Oriental,,,,
BR,Rio de Janeiro,Santa Maria Madalena,Sudeste,,,,AM de Rest of Rio
BR,Amapá,Tartarugalzinho,Norte,,,,
BR,Maranhão,São Bernardo,Nordeste,,,,
BR,Santa Catarina,Mafra,Sul,,,,AM de Rest of Santa Catarina
UY,San José,Ciudad del Plata,Metropolitana,,,,
PE,Lima,,Lima and Callao,,,,
MX,Ciudad de México,Milpa Alta,South-Central,Area 5,,,AM de Ciudad de México
UY,Maldonado,Piriápolis,Este,,,,
MX,Chiapas,San Cristobal de las Casas,Southwest,Area 6,,,
PA,Coclé,Penonomé,Coclé,,,,
BR,Sergipe,Japoatã,Nordeste,,,,
MX,Estado de México,Amatepec,South-Central,Area 4,Sur,Occidente Pacífico,
CO,Quindió,Calarcá,Central,Antioquia / Eje Cafetero,,Centro,
MX,Campeche,Calkini,Southeast,Area 6,,,
VE,Portuguesa,Araure,Centroccidental,,,,AM de Barquisimeto
